time,parameterized_I1,integrated_I1,error_h0p02,error_h0p01
2.2,1.0011174871193906,1.001117487119516,1.7966073073694133e-11,1.1226575225009583e-12
2.3000000000000003,0.9999247384769812,0.999924738477113,1.744382416291046e-11,1.0897949209720537e-12
2.4000000000000004,0.9985662321425954,0.9985662321427332,1.6558310278469435e-11,1.0329515021112456e-12
2.5,0.9970419550518049,0.9970419550519477,1.5331735880863562e-11,9.556799795973347e-13
2.6,0.9953544066404159,0.9953544066405628,1.3796075393202045e-11,8.606448886894214e-13
2.7,0.9935086349714919,0.9935086349716417,1.198419141701379e-11,7.451816941284051e-13
2.8000000000000003,0.9915122392323296,0.9915122392324806,9.941381051703502e-12,6.181721801112872e-13
2.9000000000000004,0.9893753369560275,0.9893753369561782,7.719158645613788e-12,4.82280881897168e-13
3.0,0.9871104949662722,0.9871104949664208,5.362821298149356e-12,3.348432642269472e-13
3.1,0.9847326237693513,0.9847326237694959,3.744560217455728e-12,2.3425705819590803e-13
3.2,0.982258835900638,0.982258835900777,3.785860513971784e-12,2.3669954885008337e-13
3.3000000000000003,0.9797082695492916,0.9797082695494231,3.6564085093004906e-12,2.289279876777073e-13
3.4000000000000004,0.9771018796099837,0.9771018796101064,4.2801318045349035e-12,2.7000623958883807e-13
3.5,0.9744621991198282,0.974462199119941,6.4570571112199104e-12,4.050093593832571e-13
3.6,0.9718130748084424,0.9718130748085444,8.426148667695088e-12,5.275779813018744e-13
3.7,0.9691793811953768,0.9691793811954675,1.013678030403753e-11,6.359357485052897e-13
3.8000000000000003,0.9665867182877412,0.9665867182878206,1.1535661315065227e-11,7.238654120556021e-13
3.9000000000000004,0.9640610984366882,0.9640610984367568,1.2578382779793174e-11,7.895906151134113e-13
4.0,0.9616286282787907,0.9616286282788498,1.3230305739853065e-11,8.286704655802168e-13
4.1000000000000005,0.9593151918915893,0.9593151918916402,1.3463008485814498e-11,8.411049634560186e-13
4.2,0.9571461413076636,0.9571461413077078,1.326405651980167e-11,8.29558643999917e-13
4.3,0.9551460003384655,0.9551460003385056,1.2631673484975181e-11,7.922551503725117e-13
4.4,0.9533381872448727,0.9533381872449114,1.1576517522371432e-11,7.247535904753022e-13
4.5,0.9517447611533911,0.951744761153431,1.0128786698260228e-11,6.341593916658894e-13
4.6000000000000005,0.9503861962660762,0.95038619626612,1.0424772156625295e-11,6.510347816401918e-13
4.7,0.9492811868752032,0.9492811868752539,1.1310508085671245e-11,7.065459328714496e-13
4.800000000000001,0.9484464850136929,0.9484464850137531,1.1913803277252555e-11,7.442935157087049e-13
4.9,0.9478967713078439,0.9478967713079164,1.2201573085235395e-11,7.622791287076325e-13
5.0,0.9476445583207459,0.9476445583208324,1.215760825346024e-11,7.593925488436071e-13
5.1000000000000005,0.9477001244603456,0.9477001244604477,1.1782796960346786e-11,7.358558207215538e-13
5.2,0.9480714754531969,0.9480714754533154,1.1096457086523515e-11,6.927791673660977e-13
5.300000000000001,0.9487643295237802,0.9487643295239154,1.0133671679568579e-11,6.326050794314142e-13
5.4,0.9497821218260297,0.9497821218261813,1.0134115768778429e-11,6.306066779870889e-13
5.5,0.9511260233844725,0.9511260233846398,1.1784351272581262e-11,7.336353746723034e-13
5.6000000000000005,0.9527949698298747,0.952794969830056,1.3077539051664644e-11,8.117950756059145e-13
5.7,0.9547856955469733,0.9547856955471673,1.3995915537634573e-11,8.72191208145523e-13
5.800000000000001,0.9570927694558947,0.9570927694560987,1.4519940805257647e-11,9.041656312547275e-13
5.9,0.9597086294721726,0.9597086294723843,1.4651391211373266e-11,9.14823772291129e-13
6.0,0.9626236136685686,0.9626236136687855,1.439914854017843e-11,8.970602038971265e-13
6.1000000000000005,0.9658259872249138,0.9658259872251338,1.3791634501103545e-11,8.597567102697212e-13
6.2,0.969301965330258,0.9693019653304786,1.2855494446739613e-11,8.029132914089132e-13
6.300000000000001,0.9730357332307881,0.9730357332310076,1.2070344723724702e-11,7.558398351648066e-13
6.4,0.9770094655430877,0.9770094655433044,1.2787104708422703e-11,8.020251129892131e-13
6.5,0.9812033477330933,0.9812033477333064,1.3513634655737405e-11,8.482103908136196e-13
6.6000000000000005,0.9855956032668176,0.9855956032670261,1.4244605495150608e-11,8.943956686380261e-13
6.7,0.9901625303516773,0.9901625303518812,1.4980905405082012e-11,9.405809464624326e-13
6.800000000000001,0.9948785523993947,0.9948785523995946,1.5718093493433116e-11,9.867662242868391e-13
6.9,0.9997162863533589,0.9997162863535555,1.645350522494482e-11,1.0329515021112456e-12
7.0,1.004646632841509,1.004646632841704,1.7179146993839822e-11,1.077360423096252e-12
7.1000000000000005,1.0096388917508181,1.009638891751013,1.7889689729599922e-11,1.120881165661558e-12
7.2,1.0146609062847778,1.014660906284975,1.857713982644782e-11,1.163513729807164e-12
7.300000000000001,1.019679237876416,1.0196792378766177,1.9235280035445612e-11,1.2043699371133698e-12
7.4,1.0246593735037468,1.0246593735039558,1.98534522155569e-11,1.2425616091604752e-12
7.5,1.0295659660118064,1.0295659660120249,2.042632729626348e-11,1.2780887459484802e-12
7.6000000000000005,1.034363107007995,1.0343631070082255,2.0945023493368353e-11,1.3109513474773848e-12
7.7,1.0390146307913497,1.0390146307915942,2.1401547201094218e-11,1.341149413747189e-12
7.800000000000001,1.043484446631749,1.0434844466320095,2.1790569348922872e-11,1.3713474800169934e-12
7.9,1.0477368955665984,1.0477368955668767,2.2103208152657317e-11,1.3891110484109959e-12
8.0,1.0517371267692426,1.0517371267695401,2.233946361229755e-11,1.4050982599655981e-12
8.1,1.0554514875079346,1.055451487508252,2.249223030048597e-11,1.4139800441625994e-12
8.200000000000001,1.058847919801562,1.058847919801899,2.2568613644580182e-11,1.4193091146808001e-12
8.3,1.0618963561337733,1.0618963561341295,2.256150821722258e-11,1.4193091146808001e-12
8.4,1.0645691060536444,1.0645691060540183,2.248334851628897e-11,1.4122036873231991e-12
8.5,1.0668412252064239,1.0668412252068147,2.233058182810055e-11,1.4050982599655981e-12
8.6,1.0686908583318813,1.0686908583322867,2.211741900737252e-11,1.3926637620897964e-12
8.700000000000001,1.0700995480589603,1.070099548059378,2.185096548146248e-11,1.3766765505351941e-12
8.8,1.0710525019190036,1.0710525019194304,2.1541879391406837e-11,1.3553602684623911e-12
8.9,1.0715388108858965,1.071538810886329,2.120437159192079e-11,1.3358203432289883e-12
9.0,1.0715516139045074,1.0715516139049424,2.085087658088014e-11,1.3145040611561853e-12
9.1,1.0710882042481678,1.0710882042486014,2.049560521300009e-11,1.2967404927621828e-12
9.200000000000001,1.0701500750976236,1.0701500750980528,2.015276834299584e-11,1.2789769243681803e-12
9.3,1.0687429033935285,1.06874290339395,1.9834800468743197e-11,1.2576606422953773e-12
9.4,1.0668764727110192,1.0668764727114302,1.9554136088117957e-11,1.241673430740775e-12
9.5,1.0645645375649242,1.0645645375653223,1.9319656985317124e-11,1.2256862191861728e-12
9.600000000000001,1.0618246331065144,1.0618246331068975,1.91455740150559e-11,1.2168044349891716e-12
9.700000000000001,1.0586778355529696,1.0586778355533368,1.9038992604691884e-11,1.213251721310371e-12
9.8,1.0551484798445836,1.055148479844934,1.900346546790388e-11,1.2114753644709708e-12
9.9,1.0512638419110636,1.051263841911398,1.9044321675210085e-11,1.2150280781497713e-12
10.0,1.0470537935207829,1.0470537935211013,1.9166890297128703e-11,1.2239098623467726e-12
10.100000000000001,1.0425504379745494,1.042550437974853,1.936761861998093e-11,1.2381207170619746e-12
10.200000000000001,1.0377877348923017,1.0377877348925926,1.964650664376677e-11,1.2576606422953773e-12
10.3,1.032801122044332,1.0328011220446118,1.999822529796802e-11,1.2789769243681803e-12
10.4,1.0276271416265874,1.0276271416268592,2.042277458258468e-11,1.312727704316785e-12
10.5,1.022303077609246,1.0223030776095121,2.091127271341975e-11,1.341149413747189e-12
10.600000000000001,1.0168666098418229,1.0168666098420864,2.1456614263115625e-11,1.3713474800169934e-12
10.700000000000001,1.0113554895225148,1.0113554895227783,2.205702287483291e-11,1.4086509736443986e-12
10.8,1.005807239481152,1.005807239481418,2.27036167643746e-11,1.4495071809506044e-12
10.9,1.0002588815300402,1.0002588815303108,2.3391066861222498e-11,1.4921397450962104e-12
11.0,0.9947466919489903,0.994746691949268,2.41158204516978e-11,1.538325022920617e-12
