# epsilon=0.01, omega1=1, omega2=1.6180339887498949
theta1,theta2,phi1,phi2,I1,I2,u1,u2,v1,v2,E1,E2,E3,E4,H
0,2.5525440310417071,0.013814155679970694,2.536042145477718,0.97613719630817963,1.6367388839493007,0.013814155679970694,-0.016501885563989217,-0.023862803691820377,0.018704895199405859,-7.2858385991025898e-16,4.4408920985006262e-16,5.7245874707234634e-16,-2.1510571102112408e-16,1.8095136828853917
0,2.6507188014663878,0.01172050776125407,2.6367153605850744,0.97526985649026732,1.6379170357349053,0.01172050776125407,-0.014003440881313436,-0.024730143509732645,0.019883046985010328,3.8857805861880479e-16,-2.2204460492503131e-16,3.41740524767431e-16,-1.9081958235744878e-16,1.8095136828853919
0,2.748893571891069,0.0095143401711624848,2.7375243051878981,0.97454717399041624,1.6388987751914863,0.0095143401711624848,-0.011369266703170709,-0.025452826009583755,0.020864786441591426,-7.0776717819853729e-16,6.6613381477509392e-16,2.6541269182445149e-16,-7.9797279894933126e-17,1.8095136828853917
0,2.8470683423157501,0.0072168379310906848,2.8384434818895876,0.97397687161428859,1.6396735648850893,0.0072168379310906848,-0.0086248604261626224,-0.02602312838571141,0.021639576135194297,4.4408920985006262e-16,-4.4408920985006262e-16,4.0072112295064244e-16,-2.3245294578089215e-16,1.8095136828853922
0,2.9452431127404308,0.0048500591598582667,2.9394463026946331,0.97356506844440005,1.6402330533313818,0.0048500591598582667,-0.0057968100457978494,-0.026434931555599943,0.022199064581486901,-4.0939474033052647e-16,4.4408920985006262e-16,7.6067624421582991e-16,-3.677613769070831e-16,1.8095136828853919
0,3.043417883165112,0.002436724504214431,3.0405053511774596,0.97331619643467682,1.6405711904411553,0.002436724504214431,-0.0029125319876524033,-0.026683803565323148,0.02253720169126041,3.9551695252271202e-16,-6.6613381477509392e-16,3.907464629637758e-16,-7.6327832942979512e-17,1.8095136828853919
0,3.1415926535897931,2.6565686588835548e-17,3.1415926535897931,0.9732329395013779,1.6406843118773005,2.6565686588835548e-17,-8.1417733115690308e-17,-0.026767060498622101,0.022650323127405631,-4.3021142204224816e-16,4.4408920985006262e-16,8.0966142780590997e-16,-7.3582107242893704e-16,1.8095136828853917
0,3.2397674240144743,-0.0024367245042144288,3.2426799560021267,0.97331619643467682,1.6405711904411553,-0.0024367245042144288,0.0029125319876523435,-0.026683803565323162,0.022537201691260434,5.134781488891349e-16,-4.4408920985006262e-16,5.0957502106818708e-16,1.960237527853792e-16,1.8095136828853919
0,3.3379421944391554,-0.0048500591598583638,3.3437390044849535,0.97356506844440005,1.6402330533313818,-0.0048500591598583638,0.0057968100457979751,-0.026434931555599967,0.022199064581486926,-2.4980018054066022e-16,2.2204460492503131e-16,6.609296443471635e-16,-5.8373444966619559e-16,1.8095136828853919
0,3.4361169648638361,-0.0072168379310907256,3.4447418252899991,0.97397687161428859,1.6396735648850893,-0.0072168379310907256,0.0086248604261627646,-0.026023128385711448,0.021639576135194336,5.3429483060085659e-16,-4.4408920985006262e-16,1.960237527853792e-16,3.7296554733501353e-16,1.8095136828853922
0,3.5342917352885173,-0.0095143401711623964,3.5456610019916881,0.97454717399041624,1.6388987751914863,-0.0095143401711623964,0.011369266703170745,-0.025452826009583773,0.020864786441591437,-3.677613769070831e-16,4.4408920985006262e-16,5.620504062164855e-16,-4.8051840284557557e-16,1.8095136828853917
0,3.6324665057131984,-0.011720507761253942,3.6464699465945118,0.97526985649026732,1.6379170357349053,-0.011720507761253942,0.014003440881313403,-0.024730143509732645,0.019883046985010346,5.4123372450476381e-16,-4.4408920985006262e-16,2.1684043449710089e-16,2.2551405187698492e-16,1.8095136828853919
0,3.7306412761378791,-0.01381415567997067,3.7471431617018682,0.97613719630817963,1.6367388839493007,-0.01381415567997067,0.016501885563989266,-0.023862803691820384,0.018704895199405876,3.4694469519536142e-17,-2.2204460492503131e-16,8.1705475718507614e-16,-4.0245584642661925e-16,1.8095136828853917
0,3.8288160465625602,-0.015775173972796371,3.8476564909741788,0.97713997102773498,1.6353768992250526,-0.015775173972796371,0.018840444411618477,-0.022860028972265044,0.017342910475157649,4.7184478546569153e-16,-6.6613381477509392e-16,6.591949208711867e-17,2.7408630920433552e-16,1.8095136828853919
0,3.9269908169872414,-0.017584719219842768,3.9479873552752536,0.97826758124732172,1.6338455334791699,-0.017584719219842768,0.020996538288012078,-0.021732418752678315,0.015811544729274974,7.2858385991025898e-17,2.2204460492503131e-16,4.5102810375396984e-16,-2.7061686225238191e-16,1.8095136828853922
0,4.0251655874119221,-0.01922539375160735,4.0481149721111498,0.97950818919364824,1.6321609198642344,-0.01922539375160735,0.022949384699227741,-0.020491810806351769,0.014126931114339457,7.6327832942979512e-16,-2.2204460492503131e-16,1.6653345369377348e-16,3.1225022567582528e-16,1.8095136828853919
0,4.1233403578366037,-0.020681411029000264,4.1480205561988726,0.98084887054812964,1.6303406635371305,-0.020681411029000264,0.024680198362269191,-0.019151129451870384,0.012306674787235536,2.9143354396410359e-16,-2.2204460492503131e-16,5.1694759584108851e-16,-3.9898639947466563e-16,1.8095136828853922
0,4.2215151282612844,-0.021938745777302714,4.2476874992560161,0.98227577654771892,1.6284036186288045,-0.021938745777302714,0.026172370994731482,-0.017724223452281074,0.010369629878909466,2.7755575615628914e-16,-4.4408920985006262e-16,-1.214306433183765e-16,4.0939474033052647e-16,1.8095136828853919
0,4.3196898986859651,-0.022985267635413181,4.347101527369178,0.98377430334606497,1.6263696556494847,-0.022985267635413181,0.027411628683213143,-0.016225696653935029,0.0083356668995898317,2.0816681711721685e-17,-2.2204460492503131e-16,5.2735593669694936e-16,-2.7755575615628914e-16,1.8095136828853917
0,4.4178646691106467,-0.023810857244041628,4.4462508345713676,0.98532926563047762,1.624259423533694,-0.023810857244041628,0.028386165460721011,-0.014670734369522421,0.0062254347837992045,4.0245584642661925e-16,-4.4408920985006262e-16,-2.0469737016526324e-16,3.3306690738754696e-16,1.8095136828853917
0,4.5160394395353274,-0.024407503843917974,4.5451261915306711,0.98692507157964438,1.6220941103842448,-0.024407503843917974,0.02908675199534359,-0.013074928420355646,0.0040601216343497991,4.145989107584569e-16,-4.4408920985006262e-16,3.9898639947466563e-16,-1.6653345369377348e-16,1.8095136828853919
0,4.614214209960009,-0.024769383585265429,4.6437210285199821,0.98854589640850921,1.6198952067261985,-0.024769383585265429,0.0295068185599731,-0.011454103591490744,0.0018612179763035737,1.214306433183765e-17,-2.2204460492503131e-16,-2.7755575615628914e-17,3.8163916471489756e-16,1.8095136828853919
0,4.7123889803846897,-0.02489291786428658,4.7420314920985538,0.99017585197056102,1.6176842747452227,-0.02489291786428658,0.02964251171386368,-0.0098241480294389352,-0.00034971400467231174,4.6372682169920632e-16,-4.4408920985006262e-16,3.4000580129145419e-16,-1.7347234759768071e-16,1.8095136828853922
0,4.8105637508093704,-0.024776811106543613,4.8400564751908126,0.99179915016322218,1.6154827265764806,-0.024776811106543613,0.029492724381442043,-0.0082008498367777821,-0.0025512621734143305,1.227316859253591e-16,2.2204460492503131e-16,-7.6327832942979512e-17,4.4408920985006262e-16,1.8095136828853919
0,4.908738521234052,-0.024422067519342068,4.9377976204977756,0.9934002581976783,1.6133116142478381,-0.024422067519342068,0.029059099263724051,-0.0065997418023216944,-0.0047223745020567118,5.8460181140418399e-16,-1.1102230246251565e-15,1.1449174941446927e-16,6.9388939039072284e-18,1.8095136828853919
0,5.0069132916587327,-0.023831986445736149,5.0352592974239307,0.99496404413867312,1.6111914333828448,-0.023831986445736149,0.028346005765197822,-0.0050359558613268735,-0.0068425553670501448,-9.540979117872439e-17,0,-3.1225022567582528e-17,3.6082248300317588e-16,1.8095136828853919
0,5.1050880620834143,-0.023012136081786046,5.1324485529493495,0.99647591148077153,1.6091419422527644,-0.023012136081786046,0.027360490865934912,-0.0035240885192284336,-0.0088920464971305787,3.5908775952719907e-16,-4.4408920985006262e-16,3.1918911957973251e-16,-1.0408340855860843e-16,1.8095136828853922
0,5.203262832508095,-0.021970305474552945,5.2293750371233765,0.99792192189363726,1.6071819972506052,-0.021970305474552945,0.026112204615281343,-0.0020780781063627829,-0.010851991499289648,-6.9388939039072284e-17,0,-2.0469737016526324e-16,4.5796699765787707e-16,1.8095136828853917
0,5.3014376029327757,-0.020716434905920695,5.3260509041006641,0.99928890562835027,1.6053294053606906,-0.020716434905920695,0.024613301167888447,-0.00071109437164978138,-0.012704583389204438,7.1123662515049091e-16,-6.6613381477509392e-16,2.0816681711721685e-17,1.1796119636642288e-16,1.8095136828853922
0,5.3996123733574573,-0.019262524987053165,5.4224906898782113,1.0005645594182533,1.6036007937309207,-0.019262524987053165,0.022878316520753565,0.00056455941825323788,-0.014433195018974315,-2.0122792321330962e-16,4.4408920985006262e-16,-2.2898349882893854e-16,3.8857805861880479e-16,1.8095136828853919
0,5.497787143782138,-0.017622525035746545,5.5187111681171386,1.0017375320202193,1.602011496036241,-0.017622525035746545,0.020924024335000298,0.0017375320202192813,-0.016022492713653965,3.4000580129145419e-16,-2.2204460492503131e-16,6.9388939039072284e-17,-8.3266726846886741e-17,1.8095136828853922
0,5.5959619142068187,-0.015812201575485414,5.6147311856375941,1.0027974978152765,1.6005754549638624,-0.015812201575485414,0.018769271430775739,0.0027974978152764175,-0.017458533786032439,-2.2898349882893854e-16,4.4408920985006262e-16,-3.0531133177191805e-16,4.9266146717741321e-16,1.8095136828853922
0,5.6941366846315002,-0.013848988069102324,5.7105714793518896,1.0037352191121041,1.5993051398640989,-0.013848988069102324,0.016434794720389459,0.0037352191121041147,-0.01872884888579595,5.2041704279304213e-16,-6.6613381477509392e-16,-1.2663481374630692e-16,2.0122792321330962e-16,1.8095136828853917
0,5.7923114550561809,-0.011751817268779196,5.8062544765437476,1.0045425979656419,1.5982114784030466,-0.011751817268779196,0.013943021487566321,0.0045425979656418787,-0.019822510346848343,-5.2041704279304213e-16,4.4408920985006262e-16,0,2.1857515797307769e-16,1.8095136828853919
0,5.8904862254808616,-0.0095409378155684732,5.9018040805068193,1.005212718430776,1.5973038009292555,-0.0095409378155684732,0.011317855025957649,0.0052127184307758688,-0.020730187820639338,6.0368376963992887e-16,-4.4408920985006262e-16,1.214306433183765e-17,3.8163916471489756e-17,1.8095136828853919
0,5.9886609959055432,-0.0072377169457211723,5.997245443623302,1.005739880215281,1.5965897962270315,-0.0072377169457211723,0.0085844477177591545,0.0057398802152810145,-0.021444192522863406,-5.8980598183211441e-16,4.4408920985006262e-16,-2.0903417885520525e-16,2.7235158572835871e-16,1.8095136828853919
0,6.0868357663302239,-0.004864431351256842,6.0926047299971868,1.0061196246773265,1.5960754773714299,-0.004864431351256842,0.0057689636669629781,0.0061196246773265617,-0.021958511378464982,4.3715031594615539e-16,-4.4408920985006262e-16,-4.6924270025172632e-16,4.7011006198971472e-16,1.8095136828853917
0,6.1850105367549055,-0.0024440483953968918,6.1879088697630751,1.0063487540343188,1.5957651565183053,-0.0024440483953968918,0.0028983330081697794,0.0063487540343187664,-0.022268832231589642,-6.8001160258290838e-16,6.6613381477509392e-16,5.9414279052205643e-17,-1.951563910473908e-17,1.8095136828853922
0.098174770424681035,0,0.094849381093415605,0.002496523070280485,1.006388408508393,1.5957396171814944,-0.0033253893312654276,0.002496523070280485,0.0063884085083928599,-0.022294371568400535,6.7307270867900115e-16,-4.4408920985006262e-16,-1.8214596497756474e-17,4.4972706114698724e-16,1.8095136828853922
0.098174770424681035,0.098174770424681035,0.097294037995015556,0.0977731196888771,1.0064709742008062,1.5956922173480099,-0.00088073242966547633,-0.00040165073580393371,0.0064709742008061972,-0.022341771401884963,-1.2490009027033011e-16,0,2.5691525729759634e-16,-3.0639553394440355e-16,1.8095136828853922
0.098174770424681035,0.19634954084936207,0.09973830702401229,0.19305293076633206,1.0064003842610945,1.5958519914087947,0.0015635365993312506,-0.0032966100830299997,0.0064003842610945369,-0.022181997341100133,4.2327252813834093e-16,-2.2204460492503131e-16,1.7477339020466331e-16,3.7036346212104831e-16,1.8095136828853919
0.098174770424681035,0.2945243112740431,0.10215851514784753,0.28836363292918438,1.0061771982348349,1.5962175907172413,0.0039837447231664989,-0.0061606783448587086,0.006177198234834781,-0.021816398032653617,4.163336342344337e-17,0,3.5128150388530344e-16,-3.4087316302944259e-16,1.8095136828853922
0.098174770424681035,0.39269908169872414,0.10453120465623254,0.38373263447384026,1.0058032583672616,1.5967859436674074,0.0063564342315515056,-0.0089664472248838605,0.0058032583672615132,-0.021248045082487475,7.0776717819853729e-16,0,2.4286128663675299e-16,2.2377932840100812e-16,1.8095136828853922
0.098174770424681035,0.49087385212340517,0.10683336549805553,0.47918681873820235,1.0052816833154468,1.597552268611875,0.0086585950733744851,-0.011687033385202833,0.0052816833154468203,-0.02048172013801982,9.0205620750793969e-17,-2.2204460492503131e-16,1.5265566588595902e-16,-2.5326962749261384e-16,1.8095136828853919
